Product Name,Review,Source
iphone 11,No review found for this product.,eBay Store 1
iphone 11,No review found for this product.,eBay Store 2
iphone 11,Item as described. Fast shipping and phone works as should. You can tell it’s refurbished on the aluminum edges. They are quite scratched but the new screen and back is flawless,eBay Store 3
iphone 11,No review found for this product.,eBay Store 4
iphone 11,"Great quality. Arrived very quickly, within 3 days. Good condition, description said the screen had small scratches but looks fine. Scratches are small/insignificant. Phone looks great, works great, no issues.",eBay Store 5
